policy,budget,beta,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high,post_switch_time_to_failure_median,collapse_rate
periodic_partial,50.0,0.3,48.0,48.0,48.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,156.8432346776504,155.61888628142734,158.06758307387346,12.0,8.25,8.0,16.25,0.10625,0.08214582571526836,0.13035417428473162,0.0,0.0
threshold,50.0,0.3,49.55,49.28788258649693,49.81211741350307,0.0,0.0,0.0,2.7,1.1272955189815905,4.27270448101841,3.875,3.2197064662423296,4.53029353375767,47.03029776452162,42.91489213301438,51.14570339602886,20.0,12.5,14.75,27.25,0.6358333333333333,0.5496309227867274,0.7220357438799391,0.0,0.0
conservative_bandit,50.0,0.3,49.35,49.056000000000004,49.644,6.725,5.915691352338623,7.534308647661376,8.975,8.613815375004233,9.336184624995767,0.0,0.0,0.0,138.60068558213533,133.34593373126043,143.85543743301022,12.0,8.25,8.0,16.25,0.11611201298701299,0.08791398903607492,0.14431003693795105,0.0,0.0
periodic_full,50.0,0.4,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,121.94743210532442,119.53294907825912,124.36191513238973,15.0,7.25,10.0,17.25,0.15,0.12281969038496376,0.17718030961503622,0.0,0.0
periodic_partial,50.0,0.4,48.0,48.0,48.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,153.79049463333004,152.30099887190082,155.27999039475927,13.5,12.25,5.75,18.0,0.08541666666666667,0.06647738465456539,0.10435594867876795,0.0,0.0
threshold,50.0,0.4,49.55,49.28788258649693,49.81211741350307,0.0,0.0,0.0,2.7,1.1272955189815905,4.27270448101841,3.875,3.2197064662423296,4.53029353375767,42.15694880047054,39.137324431930196,45.17657316901088,22.0,7.0,18.0,25.0,0.7054166666666667,0.6102540396699141,0.8005792936634193,0.0,0.0
conservative_bandit,50.0,0.4,49.35,49.056000000000004,49.644,6.975,6.125606264475232,7.824393735524767,8.85,8.475016786700511,9.224983213299488,0.0,0.0,0.0,135.3418644114565,129.71881522349565,140.96491359941734,13.5,12.25,5.75,18.0,0.1310930735930736,0.10511384296245817,0.157072304223689,0.0,0.0
periodic_full,50.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,122.05862903193217,119.8658806216684,124.25137744219595,15.5,7.25,10.75,18.0,0.11499999999999999,0.08396997318559707,0.1460300268144029,0.0,0.0
periodic_partial,50.0,0.5,48.0,48.0,48.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,154.51671786826995,152.93396361257862,156.09947212396128,11.5,9.0,8.0,17.0,0.07499999999999998,0.054910527767338055,0.09508947223266191,0.0,0.0
threshold,50.0,0.5,49.9,49.763195441671385,50.03680455832861,0.0,0.0,0.0,0.6,-0.22082734997168463,1.4208273499716846,4.75,4.407988604178465,5.092011395821535,41.93878636286091,39.26363432116033,44.61393840456149,20.0,8.0,16.0,24.0,0.6675000000000001,0.5740963117732552,0.760903688226745,0.0,0.0
conservative_bandit,50.0,0.5,49.45,49.16972193294552,49.730278067054485,6.825,5.9376069439659585,7.712393056034042,8.825,8.339353959222278,9.310646040777721,0.05,-0.018402279164307034,0.11840227916430704,137.24956107757114,131.0125660429233,143.48655611221898,11.5,9.0,8.0,17.0,0.11008477633477634,0.08429290898619708,0.1358766436833556,0.0,0.0
periodic_full,60.0,0.1,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,134.58142044773797,132.70139249276863,136.4614484027073,14.0,10.25,9.0,19.25,0.10833333333333332,0.08338375454968486,0.1332829121169818,0.0,0.0
periodic_partial,60.0,0.1,60.0,60.0,60.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,158.48569363802707,157.3581127854196,159.61327449063455,14.0,16.75,11.25,28.0,0.1,0.07480487543205429,0.12519512456794574,0.0,0.025
threshold,60.0,0.1,60.0,60.0,60.0,0.0,0.0,0.0,2.25,0.5689906878032154,3.9310093121967844,5.1,4.427596275121286,5.772403724878713,40.14816794959868,37.22954331638976,43.0667925828076,20.5,7.25,17.0,24.25,0.695,0.6260181567305229,0.763981843269477,0.0,0.0
conservative_bandit,60.0,0.1,58.85,58.539699731855976,59.16030026814403,4.075,3.498899247593725,4.6511007524062755,12.675,12.418221586097754,12.931778413902247,0.0,0.0,0.0,152.59640677908354,149.45895182515093,155.73386173301614,14.0,16.75,11.25,28.0,0.12110528360528361,0.09491285060601255,0.14729771660455465,0.0,0.0
periodic_full,60.0,0.2,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,132.8842765725537,131.02628156512986,134.7422715799775,13.5,9.0,8.0,17.0,0.09583333333333333,0.06997497765466423,0.12169168901200242,0.0,0.0
periodic_partial,60.0,0.2,60.0,60.0,60.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,159.09450179666632,158.06383260260898,160.12517099072366,12.0,29.5,7.0,36.5,0.10333333333333332,0.0809198758373762,0.12574679082929044,0.0,0.025
threshold,60.0,0.2,60.0,60.0,60.0,0.0,0.0,0.0,1.125,-0.11498526666185072,2.3649852666618507,5.55,5.054005893335259,6.0459941066647405,39.452599524284366,36.210352683643244,42.69484636492549,20.0,9.25,14.75,24.0,0.6483333333333334,0.560369420116094,0.7362972465505728,0.0,0.0
conservative_bandit,60.0,0.2,59.2,58.89248990010333,59.50751009989668,4.15,3.617608106555774,4.682391893444226,12.725,12.492374020896534,12.957625979103465,0.0,0.0,0.0,152.9919363989089,150.5552096873458,155.428663110472,12.0,29.5,7.0,36.5,0.11648601398601399,0.09039785956434664,0.14257416840768133,0.0,0.0
periodic_full,60.0,0.3,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,135.02266413743547,133.34558423819084,136.6997440366801,14.0,9.25,9.75,19.0,0.1,0.07437415834194397,0.12562584165805604,0.0,0.0
